"id","name","name_short","starts_at_lt","ends_at_lt"
"462bf4b0-f83e-4df9-8646-9d898019ddaa",Теория и методика в области исследований международных отношений (2),ТиМвОИМО,2022-02-14 00:00:00.000,2022-07-18 00:00:00.000
aeb365e2-caaf-458e-a55e-e8fec0d0f87b,Теория и методика избранного вида спорта,ТИМИВС,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
d0646c83-76c3-41b9-9d46-5518d606d1bc,Теория и методика избранного вида спорта,ТИМИВС,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
ece22962-ce46-4f3f-b148-e7ffb79048f9,Теория и методика музыкального воспитания,ТиММВ,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"736159b2-fd2a-4236-b6ef-90ed49e87017",Теория и методика обучения базовым видам спорта,ТИМОБВС,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
"6eef0f7e-5ab4-4984-a8e8-71ce8783e669",Теория и методика обучения базовым видам спорта,ТИМОБВС,2021-09-01 00:00:00.000,2022-01-31 00:00:00.000
ac1e8d23-2f6f-4f14-93d0-e65003aa022d,Теория и методика обучения базовым видам спорта,ТИМОБВС,2022-02-14 00:00:00.000,2022-07-04 00:00:00.000
a2fee879-8646-43b6-96da-42360a3a7c2b,Теория и методика обучения базовым видам спорта,ТИМОБВС,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"9a07d7c7-1e57-4be7-a5ff-848e1229f274",Теория и методика обучения базовым видам спорта,ТИМОБВС,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"2d76d538-6c0e-40b5-b19d-f9c1e7c3d9ef",Теория и методика обучения базовым видам спорта,ТИМОБВС,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
"2f8d612b-fb53-4f86-a78e-79218bc17ed6",Теория и методика обучения базовым видам спорта. Гимнастика,ТиМОБВС.Г,2022-02-21 00:00:00.000,2022-07-11 00:00:00.000
c813562b-a83d-492b-81e1-c66d197171dc,Теория и методика обучения базовым видам спорта. Гимнастика,ТиМОБВС.Г,2022-01-24 00:00:00.000,2022-07-25 00:00:00.000
"864105b7-d882-4c61-874e-e74664063dde",Теория и методика обучения базовым видам спорта. Легкая атлетика,ТиМОБВС.ЛА 7,2021-09-01 00:00:00.000,2022-01-17 00:00:00.000
"6eb0dc6c-dbbc-4226-80f7-f4fe4d1b71d9",Теория и методика обучения базовым видам спорта. Легкая атлетика ,ТиМОБВС.ЛА 8 ЗФО,2022-02-21 00:00:00.000,2022-07-11 00:00:00.000
e8eb04d7-cd70-42b0-abe0-32990be2ff17,Теория и методика обучения базовым видам спорта. Легкая атлетика ,ТиМОБВС.ЛА 8,2022-01-24 00:00:00.000,2022-07-25 00:00:00.000
c842c08e-abb3-4293-ba78-3bf60c9cf3af,Теория и методика обучения базовым видам спорта. Лыжный спорт,ТиМОБВС л/с,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
"764c61c3-0130-4d26-94e1-e3eb77f36d01",Теория и методика обучения базовым видам спорта. Лыжный спорт,ТиМОБВС л/с,2022-01-24 00:00:00.000,2022-07-25 00:00:00.000
"0d099c66-5302-424d-a185-fd3f2a4293f3",Теория и методика обучения базовым видам спорта. Лыжный спорт.,ТиМОБВС л/с,2021-09-01 00:00:00.000,2022-01-17 00:00:00.000
"3437346d-c973-49a7-93dc-5fee3637d6bf",Теория и методика обучения базовым видам спорта. Плавание,ТиМОБВС плавание ОЗО,2021-09-01 00:00:00.000,2022-02-14 00:00:00.000
