"id","name","starts_at_lt","ends_at_lt"
da03b037-4192-465b-9a8f-4eee341830ce,"ASP 44.06.01 Образование и педагогические науки: общая педагогика, история педагогики и образования ОФО, ЗФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
b8bd25f3-bfa8-438d-9d5f-dc89ae624cb8,"ASP 44.06.01 Образование и педагогические науки: теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры ОФО (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
e8f0a460-aac7-4900-beec-14739aa1a994,"ASP 44.06.01 Образование и педагогические науки: теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"0ac90711-effb-4160-8879-f2c576353ced","ASP 44.06.01 Образование и педагогические науки: теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"0b404655-0479-4769-8afd-6942b045b0f9","ASP 44.06.01 Образование и педагогические науки: теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры ОФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
b89d61d5-8392-46d8-b004-22574ea5bb49,ASP 45.06.01 Языкознание и литературоведение: литература народов стран зарубежья (литература стран Западной Европы и Северной Америки) ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
e6098a23-7e5a-41c6-a94d-d65c173151f8,ASP 45.06.01 Языкознание и литературоведение: русская литература ОФО (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
cb6e2412-7d92-4577-96dd-db878b830ea1,ASP 45.06.01 Языкознание и литературоведение: русская литература ОФО (2 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"4f242d3c-beb0-442b-82af-b58e3fc12dbd",ASP 45.06.01 Языкознание и литературоведение: русская литература ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
cf3efc4b-7a5a-4afc-b22c-1d335e47b5f9,ASP 45.06.01 Языкознание и литературоведение: русская литература ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"49ce62df-0cd1-4137-b252-677f8838e266","ASP 45.06.01 Языкознание и литературоведение: сравнительно-историческое, типологическое и сопоставительное языкознание ОФО (1 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
dd1f4ad2-c906-4e14-a5fc-ecdb9c88e69b,"ASP 45.06.01 Языкознание и литературоведение: сравнительно-историческое, типологическое и сопоставительное языкознание ОФО (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"7b2efef4-47ce-44d4-a9c4-bc1f35a4af4f","ASP 45.06.01 Языкознание и литературоведение: сравнительно-историческое, типологическое и сопоставительное языкознание ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"780e4a55-f1c5-4323-b589-cf8d865044b4","ASP 45.06.01 Языкознание и литературоведение: сравнительно-историческое, типологическое и сопоставительное языкознание ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
ab5e6fce-f112-44e7-9ab4-34f97f2eeab7,"ASP 45.06.01 Языкознание и литературоведение: сравнительно-историческое, типологическое и сопоставительное языкознание ОФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"3367e80a-d8c2-46d1-99cd-e1739c848566",ASP 46.06.01 Исторические науки и археология: всеобщая история (Средние века) ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
db64d36e-06dd-417a-a1a8-aee80921ab93,ASP 46.06.01 Исторические науки: отечественная история ОФО (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
a931cb23-8786-4e37-9055-1c4e2dfc4143,ASP 46.06.01 Исторические науки: отечественная история ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"854425ad-4363-469a-9167-189b0d5228df",ASP 46.06.01 Исторические науки: отечественная история ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"79736cfe-fa3c-4cca-80ea-67eacc71086c",ASP 51.06.01 Культурология: теория и история культуры ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"018a5427-c46d-4b5d-8b46-a03e95e8f2d2",ASP X-BIO Ботаника (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
f0192921-92a5-49d8-9671-628ae514be20,ASP X-BIO Химическая защита растений (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"75ec57f2-8acc-4990-91dc-de8f30226ee6","ASP Иностранный язык (английский) (01.06.01 - 10.06.01, 45.06.01-51.06.01) (1 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"5367c811-cb0c-4343-b036-bf8e0c632b72","ASP Иностранный язык (английский) (01.06.01 - 10.06.01, 45.06.01-51.06.01) (2 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"62177a3e-f1bc-4496-886d-981139be6092",ASP Иностранный язык (английский) (37.06.01- 44.06.01) (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"85adbdd8-19cf-4804-ba1d-d7d09a4eb38e",ASP Иностранный язык (английский) (37.06.01- 44.06.01) (2 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"839d9e32-ac49-4637-a671-4d8d2c01ba1c",ASP Иностранный язык (немецкий) (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"046093d7-d1b3-442f-ae6f-7c17c137d804",ASP Иностранный язык (немецкий) (2 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
a9942b7f-c61f-468c-8647-5954456a0c0e,ASP Иностранный язык (французский) (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"4c065db7-ae72-4685-a8b4-cdfb6a77acc7",ASP Иностранный язык (французский) (2 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"1b436491-7743-4cb5-8f47-37b2bede63e8",ASP Информационные технологии в НИД (01.06.01-10.06.01) (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
defdda33-a23c-433b-89ee-bbfab3bf8c63,ASP Информационные технологии в НИД (37.06.01-51.06.01) (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"5ad0ca18-e59b-4b65-b69a-15264ab4b554",ASP История и философия науки (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"3c861cae-7fd2-4971-9f26-aafca691dfeb",ASP История и философия науки (2 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"194c8411-faf9-4274-92c2-15760ad0b0d4",ASP Педагогика и психология ВШ (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"859c657d-0034-455f-8355-d4dafc02698e",CORE Безопасность жизнедеятельности 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
e24209b5-e2eb-4b43-93e4-5f99a7e9b98e,CORE Безопасность жизнедеятельности ЗФО 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
f4038374-dcfa-4acb-82bf-46f834f6d7f0,Core Иностранный язык весенний семестр 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
ac46eaf2-0367-44ac-92c8-0d62d6baf17f,Core Иностранный язык осенний семестр 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
dece7dbc-63ec-4f6a-88e8-e209c9db98ac,Core Математика весенний семестр 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"47f4facf-2f0e-4956-891a-aafaab8de697",Core Математика ЗФО 3 семестр 2021-2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"6de01a33-2714-4c3f-a0b2-dc531cdf4bf5",Core Математика осенний семестр 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"7e9d02c0-c018-41d2-ad34-dd29e3cacf7f",CORE РиМ+ЦК/ПеП+ФТМ весенний семестр 2021/2022,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"9587f249-4930-4991-a1c8-913ba721fb7e",CORE Рим/ЦК + ПеП/ФТМ ЗФО 2021/2022 весенний семестр,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"1d898337-630f-4028-840a-7a61d4ffd72d",CORE РиМ/ЦК + ПеП/ФТМ ЗФО 2021/2022 осенний семестр,2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
